OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
1,270666.8832,6133947.824,2,10,0.01,1,955.0799561,1555.80896,1115.421631,2,Bare Sand,-1.5195205
2,270657.0256,6133946.142,2,20,0.02,2,959.3612671,1550.676636,1096.393433,2,Bare Sand,-1.6358856
3,270647.1681,6133944.46,2,30,0.03,3,934.1827393,1534.267456,1037.498169,2,Bare Sand,-1.7515147
4,270637.3105,6133942.779,2,40,0.04,4,859.2127686,1454.832275,876.5345459,2,Bare Sand,-1.13
5,270627.4529,6133941.097,2,50,0.05,5,747.2156372,1294.75,687.7681274,2,Bare Sand,-1.13
6,270617.5953,6133939.415,2,60,0.06,6,591.388916,1066.073608,482.7191162,2,Bare Sand,-1.38
7,270607.7377,6133937.734,2,70,0.07,7,477.3718262,915.1834106,347.8389893,2,Bare Sand,-1.97
8,270597.8801,6133936.052,2,80,0.08,8,516.6418457,954.6015625,330.6936646,2,Bare Sand,-2.18
9,270588.0226,6133934.37,2,90,0.09,9,538.8511353,954.7617188,325.3546753,2,Bare Sand,-2.25
10,270578.165,6133932.688,2,100,0.1,10,520.2423096,906.5870972,307.6221313,2,Bare Sand,-2.12
11,270568.3074,6133931.007,2,110,0.11,11,505.7089844,877.2892456,282.9246216,2,Bare Sand,-2.01
12,270558.4498,6133929.325,2,120,0.12,12,486.8414001,827.7461548,247.5025482,2,Bare Sand,-2.09
13,270548.5922,6133927.643,2,130,0.13,13,455.5708008,777.9585571,206.7645416,2,Bare Sand,-2.24
14,270538.7346,6133925.962,2,140,0.14,14,423.1528625,743.6834717,172.2397156,2,Bare Sand,-2.45
15,270528.8771,6133924.28,2,150,0.15,15,390.3616333,714.2884521,133.9960938,2,Bare Sand,-2.69
16,270519.0195,6133922.598,2,160,0.16,16,364.1167603,687.9578857,110.9983292,2,Bare Sand,-2.95
17,270509.1619,6133920.917,2,170,0.17,17,340.8878479,660.4407349,93.9972076,2,Bare Sand,-3.23
18,270499.3043,6133919.235,2,180,0.18,18,323.5583496,632.1348267,77.6460724,2,Bare Sand,-3.47
19,270489.4467,6133917.553,2,190,0.19,19,283.5488586,595.7581787,65.8819046,2,Bare Sand,-3.76
