OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
1,270419.6865,6134863.044,1,10,0.01,1,698.3132935,1200.820435,738.3947754,2,Bare Sand,-1.3
2,270409.7568,6134861.86,1,20,0.02,2,765.0882568,1339.074707,842.4116211,2,Bare Sand,-1.45
3,270399.8272,6134860.676,1,30,0.03,3,844.4195557,1427.921509,946.777832,2,Bare Sand,-1.14
4,270389.8975,6134859.492,1,40,0.04,4,813.9187012,1410.511353,890.2226562,2,Bare Sand,-1.12
5,270379.9679,6134858.308,1,50,0.05,5,712.9741211,1294.995972,717.3000488,2,Bare Sand,-1.01
6,270370.0382,6134857.124,1,60,0.06,6,596.2062988,1108.866211,515.8774414,2,Bare Sand,-1.24
7,270360.1086,6134855.94,1,70,0.07,7,495.3291931,948.5372314,352.921936,2,Bare Sand,-1.73
8,270350.1789,6134854.755,1,80,0.08,8,468.5623169,889.9337158,275.6756897,2,Bare Sand,-2.18
9,270340.2493,6134853.571,1,90,0.09,9,483.7409058,855.7325439,270.6791077,2,Bare Sand,-2.27
10,270330.3196,6134852.387,1,100,0.1,10,511.8171997,863.6157837,278.5492859,2,Bare Sand,-2.18
11,270320.39,6134851.203,1,110,0.11,11,530.2853394,897.53125,289.5571899,2,Bare Sand,-2.11
12,270310.4603,6134850.019,1,120,0.12,12,518.428894,864.7008667,292.8077393,2,Bare Sand,-1.96
13,270300.5307,6134848.835,1,130,0.13,13,493.612854,802.8858032,268.2138672,2,Bare Sand,-1.94
14,270290.601,6134847.651,1,140,0.14,14,464.1278076,748.9963379,225.5536346,2,Bare Sand,-2.07
15,270280.6714,6134846.467,1,150,0.15,15,441.7848816,701.8165283,190.0905457,2,Bare Sand,-2.24
16,270270.7417,6134845.283,1,160,0.16,16,406.5335693,669.9767456,158.7406006,2,Bare Sand,-2.47
17,270260.8121,6134844.098,1,170,0.17,17,364.4221802,639.8996582,132.3605347,2,Bare Sand,-2.7
18,270250.8824,6134842.914,1,180,0.18,18,341.1673279,619.5963135,117.3820953,2,Bare Sand,-2.93
19,270240.9528,6134841.73,1,190,0.19,19,316.8522339,600.8682251,98.577713,2,Bare Sand,-3.21
20,270231.0231,6134840.546,1,200,0.2,20,285.1959229,571.9658813,77.7630005,2,Bare Sand,-3.45
21,270221.0935,6134839.362,1,210,0.21,21,261.6293945,539.4337769,67.123642,2,Bare Sand,-3.69
22,270211.1639,6134838.178,1,220,0.22,22,236.8521729,499.7127075,63.7354164,2,Bare Sand,-3.95
23,270201.2342,6134836.994,1,230,0.23,23,211.3398895,493.646759,58.5399742,2,Bare Sand,-4.18
24,270191.3046,6134835.81,1,240,0.24,24,232.0140839,500.2037659,53.8346519,2,Bare Sand,-4.36
25,270181.3749,6134834.626,1,250,0.25,25,250.2523346,483.6797485,49.9225502,2,Bare Sand,-4.55
26,270171.4453,6134833.441,1,260,0.26,26,203.2806091,457.0508423,45.5113182,2,Bare Sand,-4.62
27,270161.5156,6134832.257,1,270,0.27,27,173.3944092,433.8168945,46.6226997,2,Bare Sand,-4.72
28,270151.586,6134831.073,1,280,0.28,28,180.6640167,421.6598511,46.4542656,2,Bare Sand,-4.79
29,270141.6563,6134829.889,1,290,0.29,29,204.9898376,441.8434448,43.7700386,2,Bare Sand,-4.86
30,270131.7267,6134828.705,1,300,0.3,30,201.3499451,449.2055664,40.3069229,2,Bare Sand,-4.9
31,270121.797,6134827.521,1,310,0.31,31,197.8925934,446.9632568,37.6086273,2,Bare Sand,-4.94
32,270111.8674,6134826.337,1,320,0.32,32,200.444519,443.885376,45.2180138,2,Bare Sand,-4.97
33,270101.9377,6134825.153,1,330,0.33,33,200.854248,437.7225952,44.2172661,2,Bare Sand,-5.01
34,270092.0081,6134823.969,1,340,0.34,34,196.8756256,425.8100281,42.928669,2,Bare Sand,-5.05
35,270082.0784,6134822.785,1,350,0.35,35,192.5702209,398.1246033,38.4238129,2,Bare Sand,-5.06
36,270072.1488,6134821.6,1,360,0.36,36,194.8323364,418.7591553,35.2165756,2,Bare Sand,-5.1
37,270062.2191,6134820.416,1,370,0.37,37,193.9815369,407.1954346,35.3910141,2,Bare Sand,-5.14
38,270052.2895,6134819.232,1,380,0.38,38,138.5457306,291.176239,35.3857651,2,Bare Sand,-5.16
39,270042.3598,6134818.048,1,390,0.39,39,67.4974594,164.129303,36.3852997,1,Seagrass,-5.03
40,270032.4302,6134816.864,1,400,0.4,40,91.1708908,165.3803864,36.7605324,1,Seagrass,-5.04
41,270022.5006,6134815.68,1,410,0.41,41,89.2949524,187.3848724,36.6774597,1,Seagrass,-5.19
42,270012.5709,6134814.496,1,420,0.42,42,48.6388855,155.8209381,31.00914,1,Seagrass,-5.16
43,270002.6413,6134813.312,1,430,0.43,43,30.3665257,110.4624634,29.5054722,1,Seagrass,-5.27
44,269992.7116,6134812.128,1,440,0.44,44,36.3719864,116.7593384,25.1557713,1,Seagrass,-5.38
45,269982.782,6134810.944,1,450,0.45,45,51.1428757,139.1776886,26.3687592,1,Seagrass,-5.21
46,269972.8523,6134809.759,1,460,0.46,46,34.6719742,120.4067917,31.2688885,1,Seagrass,-5.27
47,269962.9227,6134808.575,1,470,0.47,47,46.4933624,109.8026733,25.402523,1,Seagrass,-5.28
48,269952.993,6134807.391,1,480,0.48,48,21.8803883,86.4367676,23.0042133,1,Seagrass,-5.37
49,269943.0634,6134806.207,1,490,0.49,49,31.3239059,77.0741425,22.3809872,1,Seagrass,-5.44
50,269933.1337,6134805.023,1,500,0.5,50,37.9719048,88.897171,17.1167755,1,Seagrass,-5.34
51,269923.2041,6134803.839,1,510,0.51,51,24.7594738,81.55867,21.459383,1,Seagrass,-5.58
52,269913.2744,6134802.655,1,520,0.52,52,43.030159,101.8346481,19.9328899,1,Seagrass,-5.72
53,269903.3448,6134801.471,1,530,0.53,53,115.1211166,221.1986237,25.3310394,1,Seagrass,-5.8
54,269893.4151,6134800.287,1,540,0.54,54,193.0605774,344.5994568,26.9909153,2,Bare Sand,-5.91
