OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
57,270567.1177,6132169.715,3,570,0.57,57,237.0458527,420.2363586,42.9840889,2,Bare Sand,-5.82
58,270557.4759,6132167.063,3,580,0.58,58,245.0192871,415.6211853,40.9608459,2,Bare Sand,-5.86
59,270547.8341,6132164.411,3,590,0.59,59,246.3600006,403.2672729,34.4401207,2,Bare Sand,-5.89
60,270538.1923,6132161.758,3,600,0.6,60,245.6857758,392.9529114,25.4217587,2,Bare Sand,-5.91
61,270528.5505,6132159.106,3,610,0.61,61,248.1536102,401.1430054,28.163269,2,Bare Sand,-5.93
62,270518.9087,6132156.453,3,620,0.62,62,246.89328,417.7462463,31.9092808,2,Bare Sand,-5.95
63,270509.2668,6132153.801,3,630,0.63,63,238.7298126,414.7361145,33.2996292,2,Bare Sand,-5.98
64,270499.625,6132151.149,3,640,0.64,64,236.5609283,413.3254395,35.0516815,2,Bare Sand,-5.98
65,270489.9832,6132148.496,3,650,0.65,65,240.4094543,424.5795898,34.5503159,2,Bare Sand,-6
66,270480.3414,6132145.844,3,660,0.66,66,254.3835144,426.7324524,38.3338814,2,Bare Sand,-6
67,270470.6996,6132143.191,3,670,0.67,67,253.2595367,426.3973999,44.2199821,2,Bare Sand,-6.05
68,270461.0577,6132140.539,3,680,0.68,68,236.8730774,415.432312,42.2215729,2,Bare Sand,-6.03
69,270451.4159,6132137.886,3,690,0.69,69,221.5439911,406.190979,37.621048,2,Bare Sand,-6.03
70,270441.7741,6132135.234,3,700,0.7,70,213.3951263,403.0654297,37.9683113,2,Bare Sand,-6.04
71,270432.1323,6132132.582,3,710,0.71,71,223.4155121,395.7931519,38.2867699,2,Bare Sand,-6.07
72,270422.4905,6132129.929,3,720,0.72,72,236.047226,396.9094238,39.2509499,2,Bare Sand,-6.07
73,270412.8486,6132127.277,3,730,0.73,73,230.7401123,387.6080322,40.1661606,2,Bare Sand,-6.11
74,270403.2068,6132124.624,3,740,0.74,74,225.3475952,363.242157,41.0067368,2,Bare Sand,-6.15
75,270393.565,6132121.972,3,750,0.75,75,203.9258728,335.2234192,41.4028664,2,Bare Sand,-6.16
76,270383.9232,6132119.319,3,760,0.76,76,199.9172211,341.4278259,42.0146561,2,Bare Sand,-6.19
77,270374.2814,6132116.667,3,770,0.77,77,177.5931702,314.6261292,42.6186981,2,Bare Sand,-6.23
78,270364.6396,6132114.015,3,780,0.78,78,174.7402954,314.5767517,42.3305855,2,Bare Sand,-6.25
79,270354.9977,6132111.362,3,790,0.79,79,181.9129333,316.5481567,45.6367226,2,Bare Sand,-6.27
80,270345.3559,6132108.71,3,800,0.8,80,190.0625763,325.9213257,46.1953964,2,Bare Sand,-6.3
81,270335.7141,6132106.057,3,810,0.81,81,200.0806732,334.0039978,45.9024811,2,Bare Sand,-6.29
82,270326.0723,6132103.405,3,820,0.82,82,220.4004211,345.8865967,46.909874,2,Bare Sand,-6.31
83,270316.4305,6132100.753,3,830,0.83,83,216.9924774,338.5169983,46.01408,2,Bare Sand,-6.32
84,270306.7886,6132098.1,3,840,0.84,84,211.8416595,342.2198486,50.5678749,2,Bare Sand,-6.31
85,270297.1468,6132095.448,3,850,0.85,85,242.7646332,342.6161804,46.4748573,1,Seagrass,-6.31
86,270287.505,6132092.795,3,860,0.86,86,236.8014984,350.0810242,48.0504189,2,Bare Sand,-6.3
87,270277.8632,6132090.143,3,870,0.87,87,236.4350586,367.2715454,50.4191818,2,Bare Sand,-6.32
88,270268.2214,6132087.49,3,880,0.88,88,253.5611725,404.182373,51.6778603,2,Bare Sand,-6.32
89,270258.5796,6132084.838,3,890,0.89,89,270.9773254,400.0612793,52.0104065,2,Bare Sand,-6.33
90,270248.9377,6132082.185,3,900,0.9,90,224.3613281,341.6542053,52.7170563,2,Bare Sand,-6.34
91,270239.2959,6132079.533,3,910,0.91,91,210.7143555,334.5009766,53.5704117,1,Seagrass,-6.35
92,270229.6541,6132076.881,3,920,0.92,92,233.3200836,364.904541,54,2,Bare Sand,-6.38
93,270220.0123,6132074.228,3,930,0.93,93,259.6070251,376.3703308,54.4987717,1,Seagrass,-6.28
94,270210.3705,6132071.576,3,940,0.94,94,275.7235107,383.6280212,55,1,Seagrass,-6.46
95,270200.7286,6132068.923,3,950,0.95,95,258.6530457,370.3201294,55.4271393,1,Seagrass,-6.47
96,270191.0868,6132066.271,3,960,0.96,96,212.5323792,292.3253784,56,1,Seagrass,-6.48
97,270181.445,6132063.619,3,970,0.97,97,150.4459534,197.4416351,55.7452698,1,Seagrass,-6.48
98,270171.8032,6132060.966,3,980,0.98,98,156.1322937,219.5098877,51.3926163,1,Seagrass,-6.5
99,270162.1614,6132058.314,3,990,0.99,99,182.9343262,273.5065002,52.1620064,1,Seagrass,-6.54
100,270152.5196,6132055.661,3,1000,1,100,215.3691101,304.401886,62.0390472,1,Seagrass,-6.23
101,270142.8777,6132053.009,3,1010,1.01,101,182.2696686,260.067688,52.8525314,1,Seagrass,-6.71
102,270133.2359,6132050.356,3,1020,1.02,102,130.1807251,204.7080231,58.439682,1,Seagrass,-6.7
103,270123.5941,6132047.704,3,1030,1.03,103,155.1222534,240.7519684,61.4162636,1,Seagrass,-6.79
104,270113.9523,6132045.052,3,1040,1.04,104,260.4822998,357.8417969,59.7882957,1,Seagrass,-6.84
105,270104.3105,6132042.399,3,1050,1.05,105,221.3224487,330.7451477,58.4029732,1,Seagrass,-6.5
106,270094.6686,6132039.747,3,1060,1.06,106,180.8506927,281.433197,58.6929703,1,Seagrass,-6.91
107,270085.0268,6132037.094,3,1070,1.07,107,154.5878448,199.8069458,60.7427979,1,Seagrass,-6.86
108,270075.385,6132034.442,3,1080,1.08,108,125.4572906,196.9185944,59.7980003,1,Seagrass,-6.89
109,270065.7432,6132031.789,3,1090,1.09,109,159.0418701,231.2151642,53.1037483,1,Seagrass,-6.95
110,270056.1014,6132029.137,3,1100,1.1,110,121.9106216,174.3449402,56.9555817,1,Seagrass,-6.94
